# Frequency, Real(S11), Imag(S11), Amp(S11), Phase(S11), Real(E0), Imag(E0), Amp(E0), Phase(E0), Real(E1), Imag(E1), Amp(E1), Phase(E1), Real(E2), Imag(E2), Amp(E2), Phase(E2), Real(I0), Imag(I0), Amp(I0), Phase(I0), Real(I1), Imag(I1), Amp(I1), Phase(I1), Real(I2), Imag(I2), Amp(I2), Phase(I2), Real(S21), Imag(S21), Amp(S21), Phase(S21), Real(ZL1), Imag(ZL1), Amp(ZL1), Phase(ZL1), Real(ZL2), Imag(ZL2), Amp(ZL2), Phase(ZL2), Real(J4avg), Imag(J4avg), Amp(J4avg), Phase(J4avg), Real(Icavg), Imag(Icavg), Amp(Icavg), Phase(Icavg) 
3.066666666666666985e+09,-7.188569982314244600e-01,-4.994241476769036535e-03,7.188743467075608962e-01,-3.134645289735317863e+00,6.677791185065657942e-01,-9.072843270180737107e-01,1.126540634493955917e+00,-9.363028279506107054e-01,2.303105712880514133e+00,-9.903992810371542443e-01,2.507027455091342727e+00,-4.061214460153057537e-01,9.869810601848220954e-02,-6.352247618927359119e-01,6.428466490955043744e-01,-1.416653755342853538e+00,1.607470879835325727e-07,2.826447496350304111e-08,1.632130719034111292e-07,1.740527870779825792e-01,-2.698280175328801082e-07,1.526028517216408588e-08,2.702592003045595329e-07,3.085097237452301577e+00,1.092693235258898858e-07,-4.455723293004084041e-08,1.180047968100767853e-07,-3.871904281955827476e-01,-8.027934700349522134e-06,-1.464847387894213942e-06,8.160484876702883854e-06,-2.961109454515725048e+00,1.635182757804711784e+01,-3.379660227062140643e-01,1.635531981266909085e+01,-2.066545216617328082e-02,1.635899492114551990e+01,-3.381892057342800739e-01,1.636249023739785358e+01,-2.067003762526717359e-02,-4.965155482692980485e-21,-1.716347580577245547e-21,5.253438681917733452e-21,-2.808772883739441895e+00,8.013602731275824453e+00,3.454771301772345260e-01,8.021046264807781156e+00,4.308465829552832194e-02
3.173333333333333015e+09,-7.188599023855184456e-01,-5.186105726420263233e-03,7.188786093286700929e-01,-3.134378430430899254e+00,7.001005143216265658e-01,-8.993985869109636377e-01,1.139762496439869821e+00,-9.093595907435917391e-01,2.412427179091621632e+00,-1.018381352575181475e+00,2.618569356288432459e+00,-3.994454788007722468e-01,9.416753088358886803e-02,-5.977799903972609297e-01,6.051515849702957528e-01,-1.414551560559508481e+00,1.668007532244634298e-07,2.729970744393455240e-08,1.690200145035278529e-07,1.622282536418183374e-01,-2.826619609028445642e-07,2.127114322821678010e-08,2.834611890112587060e-07,3.066481286710161847e+00,1.160502417142251138e-07,-4.967951333781624670e-08,1.262367325599499776e-07,-4.044818260600288040e-01,-8.330585959431061749e-06,-1.420418505480298690e-06,8.450813638826786499e-06,-2.972710328461519058e+00,1.635125832819790404e+01,-3.509366441707996720e-01,1.635502385946541892e+01,-2.145906863427996664e-02,1.635901741720862645e+01,-3.511916808272694812e-01,1.636278663471529526e+01,-2.146447650853275380e-02,-1.670311489909852342e-19,-1.761919408352458278e-19,2.427818048135804571e-19,-2.329510337182743474e+00,-5.519067503139903907e-01,-6.034811609827497314e-01,8.177961681881597000e-01,-2.311585925479426429e+00
3.280000000000000000e+09,-7.188661109971744567e-01,-5.380382942523311528e-03,7.188862455637957671e-01,-3.134108252257113314e+00,1.844633143478900283e+00,-9.124424466209088980e-01,2.057965658706772505e+00,-4.593561316068148215e-01,1.867484901013260756e-01,-1.033616755052790825e+00,1.050351652962466575e+00,-1.392049852659392073e+00,1.363449066053700476e-01,-7.464910885702615850e-01,7.588404831531072592e-01,-1.390139936813878041e+00,-5.072920920265358516e-07,7.430131753295743163e-09,5.073465023931185954e-07,3.126947046801485275e+00,2.492241835740845582e-07,2.269191292327438685e-08,2.502551030254657176e-07,9.079984251042402810e-02,2.580950130702634775e-07,-2.663278490485399865e-08,2.594654909685056560e-07,-1.028259091878796078e-01,2.536595983221701141e-05,-1.970435990777883844e-07,2.536672514120780957e-05,-7.767876207645632407e-03,1.635072777308820235e+01,-3.640536352520223340e-01,1.635478015012669317e+01,-2.226160811802895337e-02,1.635854576857123277e+01,-3.643714453869821845e-01,1.636260328348313919e+01,-2.227039062095995808e-02,2.722155917908014728e-19,2.792839117535245416e-19,3.900010663810635410e-19,7.982140098889756175e-01,-7.664497197006993723e+00,2.626917125776347817e+01,2.736446374136783533e+01,1.854683599055156451e+00
3.386666666666666508e+09,-7.188576214112513130e-01,-5.578215647874732244e-03,7.188792640985384175e-01,-3.133832975565031820e+00,1.945701381316608414e+00,-1.050573111134575299e+00,2.211211823208337091e+00,-4.950912283232495326e-01,2.300656599484099674e-01,-1.050277120789048224e+00,1.075180095770206457e+00,-1.355150112997955514e+00,1.786730297177687998e-01,-8.132727513256780005e-01,8.326683731218358364e-01,-1.354535701766792721e+00,-5.247932976924047252e-07,3.652721308467732640e-08,5.260629644810612902e-07,3.072101679285992315e+00,2.579990921366403334e-07,3.955664170034179240e-09,2.580294146456111397e-07,1.533088440184711063e-02,2.670271259517632537e-07,-3.675439935033681488e-08,2.695447492823091317e-07,-1.367834499493795208e-01,2.625131090442004054e-05,-1.639936759015162950e-06,2.630248499237461296e-05,-6.238958565989549676e-02,1.634998489430709157e+01,-3.774669767525131170e-01,1.635434154475834490e+01,-2.308258618878475041e-02,1.636026860162963459e+01,-3.777486498302720097e-01,1.636462901381870694e+01,-2.308528985902659134e-02,3.137513994587321315e-21,6.306149748404354037e-21,7.043544471040953470e-21,1.109124723334772966e+00,7.899107292994868246e+00,1.129020636375460818e+01,1.377913842598330874e+01,9.603103898738686306e-01
3.493333333333333492e+09,-7.188515629100644677e-01,-5.778070139415406904e-03,7.188747843628807699e-01,-3.133554908378419768e+00,9.413779269012252648e-02,-1.015284011310273016e+00,1.019638930031041335e+00,-1.478340025457567375e+00,1.185214795372984131e-01,-1.286637762788432449e+00,1.292085165051024331e+00,-1.478938355316596454e+00,7.949633516091471341e-02,-6.525970476873608206e-01,6.574211541730886621e-01,-1.449578210811614865e+00,1.487673234756613199e-09,1.375567355342143265e-08,1.383588546359462535e-08,1.463065253719001202e+00,-4.252240333010372271e-09,4.759647514554479191e-08,4.778604392634049555e-08,1.659899166156268313e+00,2.865404254662981474e-09,-6.136230747648532734e-08,6.142917320281438209e-08,-1.524133735986994864e+00,-6.934180391734828875e-08,-6.882916165470417402e-07,6.917757116142860518e-07,-1.671202354354690778e+00,1.635149802273679143e+01,-3.909764913208876314e-01,1.635617162432367167e+01,-2.390618927701535640e-02,1.635939560544641935e+01,-3.913016734317582013e-01,1.636407472407560704e+01,-2.391451886923124520e-02,8.072873604446380448e-21,-3.479777803233396516e-21,8.790912455100603924e-21,-4.069802815428955611e-01,1.957081550835886974e+00,1.861490464593540742e-02,1.957170077253680418e+00,9.511276270536684133e-03
3.600000000000000000e+09,-7.188160345026043396e-01,-5.985430947400247580e-03,7.188409537871889299e-01,-3.133266054944683354e+00,6.018371222895369486e-03,-9.254733603445246537e-01,9.254929289300718454e-01,-1.564293399054960121e+00,5.956210918008227571e-03,-1.450297572700601334e+00,1.450309803397107133e+00,-1.566689461042943154e+00,1.483592142053329239e-02,-7.101286729456846025e-01,7.102836311671523184e-01,-1.549907487814297546e+00,1.252409036982856321e-09,-4.664459908548662121e-08,4.666140966839402764e-08,-1.543952743022762419e+00,-2.868071485125177966e-10,8.692931375840308000e-08,8.692978689061260989e-08,1.574095629359724580e+00,-1.317623340623293656e-09,-4.029682625196513479e-08,4.031836228381333815e-08,-1.603482624519148247e+00,-8.022152445676376991e-08,2.331624375321915141e-06,2.333004012122885093e-06,1.605188612856684571e+00,1.635485213346754207e+01,-4.050161706228315728e-01,1.635986633215729569e+01,-2.475922148729605213e-02,1.636065856499115156e+01,-4.053688600709426937e-01,1.636567971680166877e+01,-2.477198192977069988e-02,1.661423578194718132e-19,1.738190259095223822e-19,2.404502793301530541e-19,8.079753267893368118e-01,4.150659676921789831e+00,7.798575784520370036e+00,8.834351137493460016e+00,1.081696023688579755e+00
3.706666666666666985e+09,-7.188840148612871683e-01,-6.190061323661384327e-03,7.189106646046322657e-01,-3.132982212658394605e+00,2.144901287861881167e-01,-9.360442489279052758e-01,9.603045617395149502e-01,-1.345539859831080598e+00,2.301767227021719875e-01,-1.327256973513261773e+00,1.347068074528342319e+00,-1.399081327995605806e+00,1.889054812366332270e-01,-9.618465881095339398e-01,9.802214749224765766e-01,-1.376865879582484187e+00,-1.582967544214461611e-09,-6.285070749924274843e-08,6.287063877042610104e-08,-1.595977156416270804e+00,-3.126456777350978597e-09,6.281759765881188430e-08,6.289535203498754433e-08,1.620525689526302493e+00,4.220850165577113335e-09,4.161604875563250165e-11,4.221055320149971296e-09,9.859317120803822929e-03,5.471966941140434585e-08,3.142960685378367312e-06,3.143436990310852174e-06,1.553387855264652062e+00,1.634763030120754479e+01,-4.187470907383185059e-01,1.635299255766237181e+01,-2.560955527028883905e-02,1.635848326563926847e+01,-4.192766061244079800e-01,1.636385552443687530e+01,-2.562492038651623463e-02,-1.170580462880539809e-19,-1.230577388318014860e-19,1.698404936614706529e-19,-2.331213023832441333e+00,-2.413045514918359669e-01,4.546900871425088475e+00,4.553299399461549157e+00,1.623816702797146627e+00
3.813333333333333969e+09,-7.188899514175935979e-01,-6.402721219194109151e-03,7.189184634492292725e-01,-3.132686489415101416e+00,2.331000706591637162e-01,-1.135783227447088040e+00,1.159456416900364051e+00,-1.368374245615149087e+00,2.553787663079021830e-01,-1.189273757541093213e+00,1.216384143540541585e+00,-1.359273419124229276e+00,1.846778264390075142e-01,-9.101142856473182219e-01,9.286624319512254422e-01,-1.370597363986107320e+00,-3.900785975277092775e-09,2.595041561441101248e-08,2.624195499168431348e-08,1.719996184617762935e+00,-4.122371458300332018e-09,1.100971336038248924e-08,1.175617857630590290e-08,1.929067534674627771e+00,8.230399041604466411e-09,-3.692728039592705574e-08,3.783336498150095188e-08,-1.351499437732415876e+00,2.054013791651975760e-07,-1.295878351777219097e-06,1.312055802611995363e-06,-1.413600456203740974e+00,1.634666770821780091e+01,-4.331033014424836014e-01,1.635240421566844304e+01,-2.648870146506586420e-02,1.635843189157857225e+01,-4.337040243535246198e-01,1.636418018515303885e+01,-2.650635775276185407e-02,-2.860804119102628317e-20,-2.395038523682105150e-20,3.731006531459831428e-20,-2.444582229374713922e+00,-7.887481670773482278e+00,-1.188296117319875300e+01,1.426243784738558418e+01,-2.156786688926676021e+00
3.920000000000000000e+09,-7.188966792214772639e-01,-6.620311699380507751e-03,7.189271617644338308e-01,-3.132383924777979445e+00,2.339585563467481699e-01,-1.241651536297408098e+00,1.263501145103386181e+00,-1.384554657457384153e+00,2.927219395990428019e-01,-1.349844013474682081e+00,1.381218662861193547e+00,-1.357246730401199919e+00,2.054271975665322436e-01,-7.347651916720986387e-01,7.629418197955692982e-01,-1.298175181419217061e+00,4.647431437299672769e-09,6.007014697540932174e-08,6.024965706634087778e-08,1.493583397313939631e+00,-9.806187626526498225e-09,2.278228278571746207e-08,2.480309909456960624e-08,1.977257585555872943e+00,5.652804519570634982e-09,-8.288656985944236829e-08,8.307910484592801169e-08,-1.502702485936479926e+00,-2.076691553477381646e-07,-3.005214353686268545e-06,3.012381083077773549e-06,-1.639789589749950149e+00,1.634561229622654110e+01,-4.477879264875851972e-01,1.635174471931543749e+01,-2.738814241541344743e-02,1.635835406982829099e+01,-4.484692224367850533e-01,1.636450037481563058e+01,-2.740843698906122658e-02,-3.676630047406512618e-21,8.900815006946296312e-22,3.782836711169439687e-21,2.904070864161130583e+00,2.643984179715491045e+00,-1.082509467684939636e-01,2.646199276332391825e+00,-4.091950405060158086e-02
4.026666666666666985e+09,-7.189043475456295962e-01,-6.843296038547555353e-03,7.189369176921425186e-01,-3.132073877723519306e+00,2.395580259871918916e-01,-1.135265763232019554e+00,1.160265659658019866e+00,-1.362832268847096406e+00,3.075338555106454930e-01,-1.666071778103152878e+00,1.694217294822905506e+00,-1.388264698221004734e+00,2.400735793392863304e-01,-8.998138069881698176e-01,9.312895418414833815e-01,-1.310066080166372160e+00,1.025522014448688560e-08,-4.454257007272254222e-08,4.570787775532011598e-08,-1.344505577499669702e+00,-1.140524691273675288e-08,8.805493157929495596e-08,8.879048728650388769e-08,1.699603435979714083e+00,7.746885531317455996e-10,-4.360212075104942440e-08,4.360900223971477521e-08,-1.553030974127737496e+00,-5.315279179802459876e-07,2.222640541412300176e-06,2.285312430264618963e-06,1.805530395393999621e+00,1.634445200871182635e+01,-4.628315293283127296e-01,1.635100377620971557e+01,-2.830978230364422643e-02,1.635824066117377029e+01,-4.636040890180292418e-01,1.636480877615846552e+01,-2.833312192976658248e-02,2.790797728426894413e-20,3.142855910319217818e-20,4.203105427421629225e-20,8.446611322720547488e-01,9.548157666535741939e+00,-6.098028590003530258e-01,9.567610691905803932e+00,-6.377940137547390143e-02
